section	model	plan	axis	accuracy	support	summary_score
turn_trend	scale-llama3-4b-base.tsv	ACTION_VIDEO_CAPTURE	turn_4	0.9333333333333333	15	0.01683501683501687
turn_trend	scale-llama3-4b-base.tsv	ACTION_VIDEO_CAPTURE	turn_5	0.9259259259259259	27	0.01683501683501687
turn_trend	scale-llama3-4b-base.tsv	ACTION_VIEW_RECENT_APPS	turn_2	1.0	7	0.0
turn_trend	scale-llama3-4b-base.tsv	ACTION_VIEW_RECENT_APPS	turn_3	1.0	17	0.0
turn_trend	scale-llama3-4b-base.tsv	ACTION_VIEW_RECENT_APPS	turn_4	0.9333333333333333	15	0.0
turn_trend	scale-llama3-4b-base.tsv	ACTION_VIEW_RECENT_APPS	turn_5	1.0	23	0.0
turn_trend	scale-llama3-4b-base.tsv	ACTION_OPEN_CONTENT	turn_2	0.3333333333333333	9	-0.15476190476190474
turn_trend	scale-llama3-4b-base.tsv	ACTION_OPEN_CONTENT	turn_3	0.5	24	-0.15476190476190474
turn_trend	scale-llama3-4b-base.tsv	ACTION_OPEN_CONTENT	turn_4	0.3	40	-0.15476190476190474
turn_trend	scale-llama3-4b-base.tsv	ACTION_OPEN_CONTENT	turn_5	0.17857142857142858	56	-0.15476190476190474
turn_trend	scale-llama3-4b-base.tsv	ACTION_SET_TIMER	turn_2	0.5555555555555556	9	-0.1684587813620072
turn_trend	scale-llama3-4b-base.tsv	ACTION_SET_TIMER	turn_3	0.2857142857142857	14	-0.1684587813620072
turn_trend	scale-llama3-4b-base.tsv	ACTION_SET_TIMER	turn_4	0.2608695652173913	23	-0.1684587813620072
turn_trend	scale-llama3-4b-base.tsv	ACTION_SET_TIMER	turn_5	0.3870967741935484	31	-0.1684587813620072
turn_trend	scale-llama3-4b-base.tsv	play_music	turn_2	0.5833333333333334	12	-0.25000000000000006
turn_trend	scale-llama3-4b-base.tsv	play_music	turn_3	0.08333333333333333	12	-0.25000000000000006
turn_trend	scale-llama3-4b-base.tsv	play_music	turn_4	0.35714285714285715	28	-0.25000000000000006
turn_trend	scale-llama3-4b-base.tsv	play_music	turn_5	0.3333333333333333	27	-0.25000000000000006
turn_trend	scale-llama3-4b-base.tsv	ACTION_VIEW_CONTACT	turn_2	0.8275862068965517	29	-0.5597290640394088
turn_trend	scale-llama3-4b-base.tsv	ACTION_VIEW_CONTACT	turn_3	0.25	28	-0.5597290640394088
turn_trend	scale-llama3-4b-base.tsv	ACTION_VIEW_CONTACT	turn_4	0.3409090909090909	44	-0.5597290640394088
turn_trend	scale-llama3-4b-base.tsv	ACTION_VIEW_CONTACT	turn_5	0.26785714285714285	56	-0.5597290640394088
turn_trend	scale-phi4-4b-base.tsv	ACTION_VIDEO_CAPTURE	turn_2	0.8181818181818182	11	0.14478114478114468
turn_trend	scale-phi4-4b-base.tsv	ACTION_VIDEO_CAPTURE	turn_3	0.8333333333333334	12	0.14478114478114468
turn_trend	scale-phi4-4b-base.tsv	ACTION_VIDEO_CAPTURE	turn_4	0.9333333333333333	15	0.14478114478114468
turn_trend	scale-phi4-4b-base.tsv	ACTION_VIDEO_CAPTURE	turn_5	0.9629629629629629	27	0.14478114478114468
turn_trend	scale-phi4-4b-base.tsv	ACTION_IMAGE_CAPTURE	turn_2	0.8333333333333334	6	0.06666666666666665
turn_trend	scale-phi4-4b-base.tsv	ACTION_IMAGE_CAPTURE	turn_3	0.9285714285714286	14	0.06666666666666665
turn_trend	scale-phi4-4b-base.tsv	ACTION_IMAGE_CAPTURE	turn_4	0.9583333333333334	24	0.06666666666666665
turn_trend	scale-phi4-4b-base.tsv	ACTION_IMAGE_CAPTURE	turn_5	0.9	30	0.06666666666666665
turn_trend	scale-phi4-4b-base.tsv	ACTION_SET_ALARM	turn_2	0.4	5	0.016666666666666663
turn_trend	scale-phi4-4b-base.tsv	ACTION_SET_ALARM	turn_3	0.4	10	0.016666666666666663
turn_trend	scale-phi4-4b-base.tsv	ACTION_SET_ALARM	turn_4	0.5238095238095238	21	0.016666666666666663
turn_trend	scale-phi4-4b-base.tsv	ACTION_SET_ALARM	turn_5	0.4166666666666667	24	0.016666666666666663
turn_trend	scale-phi4-4b-base.tsv	ACTION_VIEW_RECENT_APPS	turn_2	1.0	7	-0.04347826086956519
